"Measure","Time","Ethnicity","Ethnicity type","Role type","Broad grade","Grade","Entry level","Value","Headcount"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","All staff groups","All grades","All grades","All","5.4","58030"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","All staff groups","All grades","All grades","All","0.5","5817"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","All staff groups","All grades","All grades","All","1.4","14840"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","All staff groups","All grades","All grades","All","1.9","20593"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","All staff groups","All grades","All grades","All","NA","48347"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","All staff groups","All grades","All grades","All","82.6","890642"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Medical staff","All grades","All grades","All","NA","107896"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Medical staff","All grades","All grades","All","28.2","28262"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Medical staff","All grades","All grades","All","3.7","3692"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Medical staff","All grades","All grades","All","2.4","2360"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Medical staff","All grades","All grades","All","2.7","2737"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Medical staff","All grades","All grades","All","3.8","3848"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Medical staff","All grades","All grades","All","NA","7845"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Medical staff","All grades","All grades","All","59.1","59152"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","NA","3112"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","40.2","1186"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","5.3","155"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","0.7","22"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","2.5","75"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","8.8","258"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","NA","165"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","42.4","1251"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","NA","42863"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","25.4","10300"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","2.8","1128"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","1.7","707"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","1.8","740"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","3.3","1331"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","NA","2318"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","65","26339"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","NA","8592"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","26.3","2076"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","5.1","406"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","3.5","275"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","3.7","296"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","4.4","346"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","NA","691"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","57","4502"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","NA","6384"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","20.6","1176"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","3.2","183"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","4.1","232"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","3.7","210"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","2.8","161"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","NA","680"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","65.6","3742"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","NA","6513"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","25","1489"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","3.5","209"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","4.2","248"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","4.1","245"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","2.8","169"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","NA","556"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","60.4","3597"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","NA","1912"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","17.8","306"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","2.1","37"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","0.5","9"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","1.4","24"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","2","35"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","NA","191"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","76.1","1310"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","NA","1433"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","18.9","252"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2.5","33"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1","14"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1.4","19"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2.2","30"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","NA","99"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","73.9","986"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","NA","6848"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","44.6","2818"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","5.2","331"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","1","63"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","2.8","176"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","6.3","398"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","NA","523"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","40.1","2539"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","NA","30201"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","31.1","8586"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","4.3","1182"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","2.9","788"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","3.4","949"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","4","1101"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","NA","2616"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","54.3","14979"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","NA","467"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","40.7","172"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","7.6","32"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","0.7","3"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","2.6","11"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","7.3","31"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","NA","44"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","41.1","174"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Non-medical staff","All grades","All grades","All","NA","1019103"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Non-medical staff","All grades","All grades","All","6.2","60425"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Non-medical staff","All grades","All grades","All","5.6","54339"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Non-medical staff","All grades","All grades","All","0.4","3457"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Non-medical staff","All grades","All grades","All","1.2","12103"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Non-medical staff","All grades","All grades","All","1.7","16745"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Non-medical staff","All grades","All grades","All","NA","40507"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Non-medical staff","All grades","All grades","All","85","831527"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","NA","37812"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","7.3","2627"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","5.9","2109"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","0.2","84"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","1.3","458"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","2","717"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","NA","1830"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","83.3","29987"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","NA","172088"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","5.8","9525"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","5","8336"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","0.2","309"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","1.3","2068"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","1.6","2719"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","NA","7000"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","86.1","142131"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","NA","134711"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","4.5","5880"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","5.3","6901"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","0.2","235"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","1.2","1613"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","1","1345"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","NA","5112"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","87.7","113625"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","NA","84018"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","4.5","3674"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","3.9","3193"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","0.2","186"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","1.2","967"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","0.7","575"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","NA","2915"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","89.4","72508"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","NA","235309"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","9.2","20825"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","7.8","17647"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","0.4","871"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","1.4","3143"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","2.7","6159"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","NA","9819"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","78.4","176845"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","NA","178449"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","5.9","10120"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","5.7","9727"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","0.5","814"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","1.2","2061"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","2","3421"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","NA","6823"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","84.8","145483"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","NA","106152"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","4.6","4708"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","4.2","4356"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","0.6","600"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","1","1074"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","1.1","1155"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","NA","3640"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","88.4","90619"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","NA","33788"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","4.7","1541"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","3.1","1002"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","0.5","177"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","1.1","350"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","0.9","287"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","NA","1193"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","89.7","29238"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","NA","14204"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","4.2","579"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","2.3","314"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","0.5","75"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","1","141"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","0.6","85"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","NA","561"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","91.2","12449"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","NA","7320"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","3.1","217"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","1.8","129"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","0.4","30"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","1.1","77"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","0.7","47"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","NA","285"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2014","White","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","92.9","6535"
